2026-07-22 01:48:55,089 | INFO | rlopt.IPMD | iter=7053/33909 | frames=1040007168/5000085504 | r_step=0.0611 | ep_len=327.4500 | r_ep=20.3544 | pi_loss=-0.0068 | fps=86713.9659
2026-07-22 01:50:50,687 | INFO | rlopt.IPMD | iter=7121/33909 | frames=1050034176/5000085504 | r_step=0.0611 | ep_len=350.0000 | r_ep=21.5165 | pi_loss=-0.0066 | fps=87502.5182
2026-07-22 01:52:46,477 | INFO | rlopt.IPMD | iter=7189/33909 | frames=1060061184/5000085504 | r_step=0.0613 | ep_len=292.4100 | r_ep=17.7396 | pi_loss=-0.0065 | fps=86608.6572
2026-07-22 01:54:42,334 | INFO | rlopt.IPMD | iter=7257/33909 | frames=1070088192/5000085504 | r_step=0.0611 | ep_len=323.3000 | r_ep=19.9366 | pi_loss=-0.0067 | fps=86584.6659
2026-07-22 01:56:38,539 | INFO | rlopt.IPMD | iter=7325/33909 | frames=1080115200/5000085504 | r_step=0.0611 | ep_len=335.8400 | r_ep=20.1814 | pi_loss=-0.0070 | fps=86063.0921
2026-07-22 01:58:34,992 | INFO | rlopt.IPMD | iter=7393/33909 | frames=1090142208/5000085504 | r_step=0.0616 | ep_len=331.4800 | r_ep=20.0906 | pi_loss=-0.0063 | fps=86385.6549
2026-07-22 02:00:31,032 | INFO | rlopt.IPMD | iter=7460/33909 | frames=1100021760/5000085504 | r_step=0.0614 | ep_len=347.8500 | r_ep=21.2660 | pi_loss=-0.0076 | fps=86209.2938
2026-07-22 02:02:27,643 | INFO | rlopt.IPMD | iter=7528/33909 | frames=1110048768/5000085504 | r_step=0.0617 | ep_len=330.2600 | r_ep=20.1448 | pi_loss=-0.0065 | fps=86252.1193
2026-07-22 02:04:24,014 | INFO | rlopt.IPMD | iter=7596/33909 | frames=1120075776/5000085504 | r_step=0.0615 | ep_len=316.5600 | r_ep=19.4979 | pi_loss=-0.0062 | fps=86116.4947
2026-07-22 02:06:20,293 | INFO | rlopt.IPMD | iter=7664/33909 | frames=1130102784/5000085504 | r_step=0.0614 | ep_len=327.7700 | r_ep=20.2450 | pi_loss=-0.0073 | fps=86826.5160
2026-07-22 02:08:16,657 | INFO | rlopt.IPMD | iter=7732/33909 | frames=1140129792/5000085504 | r_step=0.0614 | ep_len=327.9300 | r_ep=20.0309 | pi_loss=-0.0066 | fps=86499.0525
2026-07-22 02:10:11,680 | INFO | rlopt.IPMD | iter=7799/33909 | frames=1150009344/5000085504 | r_step=0.0617 | ep_len=353.4600 | r_ep=21.8275 | pi_loss=-0.0067 | fps=85743.4283
2026-07-22 02:12:08,428 | INFO | rlopt.IPMD | iter=7867/33909 | frames=1160036352/5000085504 | r_step=0.0616 | ep_len=324.7800 | r_ep=19.7367 | pi_loss=-0.0065 | fps=86226.6188
2026-07-22 02:14:06,218 | INFO | rlopt.IPMD | iter=7935/33909 | frames=1170063360/5000085504 | r_step=0.0618 | ep_len=321.7500 | r_ep=19.9164 | pi_loss=-0.0071 | fps=86012.2461
2026-07-22 02:16:02,832 | INFO | rlopt.IPMD | iter=8003/33909 | frames=1180090368/5000085504 | r_step=0.0618 | ep_len=326.8400 | r_ep=19.9220 | pi_loss=-0.0059 | fps=86185.4253
2026-07-22 02:17:59,220 | INFO | rlopt.IPMD | iter=8071/33909 | frames=1190117376/5000085504 | r_step=0.0617 | ep_len=353.9700 | r_ep=22.0342 | pi_loss=-0.0067 | fps=87296.4546
2026-07-22 02:19:54,739 | INFO | rlopt.IPMD | iter=8139/33909 | frames=1200144384/5000085504 | r_step=0.0621 | ep_len=322.5400 | r_ep=20.0233 | pi_loss=-0.0065 | fps=86715.3974
2026-07-22 02:21:48,927 | INFO | rlopt.IPMD | iter=8206/33909 | frames=1210023936/5000085504 | r_step=0.0618 | ep_len=313.6900 | r_ep=19.6191 | pi_loss=-0.0066 | fps=86250.5371
2026-07-22 02:23:45,151 | INFO | rlopt.IPMD | iter=8274/33909 | frames=1220050944/5000085504 | r_step=0.0620 | ep_len=314.0500 | r_ep=19.2571 | pi_loss=-0.0066 | fps=86432.0484
2026-07-22 02:25:43,220 | INFO | rlopt.IPMD | iter=8342/33909 | frames=1230077952/5000085504 | r_step=0.0621 | ep_len=317.6100 | r_ep=19.5984 | pi_loss=-0.0065 | fps=85907.5506
2026-07-22 02:27:40,139 | INFO | rlopt.IPMD | iter=8410/33909 | frames=1240104960/5000085504 | r_step=0.0621 | ep_len=320.7600 | r_ep=19.7844 | pi_loss=-0.0064 | fps=85812.0418
2026-07-22 02:29:37,087 | INFO | rlopt.IPMD | iter=8478/33909 | frames=1250131968/5000085504 | r_step=0.0621 | ep_len=343.2000 | r_ep=21.4411 | pi_loss=-0.0069 | fps=85884.5986
2026-07-22 02:31:32,176 | INFO | rlopt.IPMD | iter=8545/33909 | frames=1260011520/5000085504 | r_step=0.0619 | ep_len=371.4000 | r_ep=23.0716 | pi_loss=-0.0065 | fps=86071.7650
2026-07-22 02:33:28,708 | INFO | rlopt.IPMD | iter=8613/33909 | frames=1270038528/5000085504 | r_step=0.0621 | ep_len=346.8200 | r_ep=22.0443 | pi_loss=-0.0073 | fps=86223.4344
2026-07-22 02:35:25,079 | INFO | rlopt.IPMD | iter=8681/33909 | frames=1280065536/5000085504 | r_step=0.0624 | ep_len=337.0400 | r_ep=21.2933 | pi_loss=-0.0071 | fps=86427.3358
2026-07-22 02:37:23,191 | INFO | rlopt.IPMD | iter=8749/33909 | frames=1290092544/5000085504 | r_step=0.0624 | ep_len=330.5600 | r_ep=20.6596 | pi_loss=-0.0074 | fps=86362.0822
2026-07-22 02:39:19,690 | INFO | rlopt.IPMD | iter=8817/33909 | frames=1300119552/5000085504 | r_step=0.0626 | ep_len=362.3300 | r_ep=22.5156 | pi_loss=-0.0055 | fps=86199.6362
